    INFO: 2024-08-10 13:08:10,409:               log.py:   20: Logging to /home/haruhiko/Documents/JNet/mdpdf.log
   DEBUG: 2024-08-10 13:08:10,645:      pdf_renderer.py:  470: printSegment: size|
   DEBUG: 2024-08-10 13:08:10,645:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-08-10 13:08:10,646:      pdf_renderer.py:  470: printSegment: 1, 10, 10
   DEBUG: 2024-08-10 13:08:10,646:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-08-10 13:08:10,647:      pdf_renderer.py:  470: printSegment: |
   DEBUG: 2024-08-10 13:08:10,647:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,648:      pdf_renderer.py:  470: printSegment: |mask
   DEBUG: 2024-08-10 13:08:10,649:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,649:      pdf_renderer.py:  470: printSegment: num|30|
   DEBUG: 2024-08-10 13:08:10,650:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,650:      pdf_renderer.py:  470: printSegment: |surround|False|
